player_id,player_display_name,position,recent_team,age,proj_points,proj_boom_weeks,proj_boom_rate,carry_share,prior_pts,prior_boom_rate,replacement_pts,vor,sim_value,overall_rank,proj_season,is_rookie,draft_round,draft_pick,bye_week
00-0033908,Cooper Kupp,WR,SEA,33.0,98.7570571899,0.8836317,0.051978335,0.0,117.3,0.0,89.7821807861,8.9748764038,5.320047084,127,2026,False,0,0,11
00-0033288,George Kittle,TE,SF,33.0,133.0935211182,1.4213977,0.08361163,0.0021645022,164.5,0.3636363636,125.5790863037,7.5144348145,5.1626085513,128,2026,False,0,0,8
00-0039163,C.J. Stroud,QB,HOU,25.0,225.3244533717,3.0404255,0.17884856,0.0838852097,220.04,0.2142857143,210.3753976643,14.9490557074,5.148792101,129,2026,False,0,0,8
00-0040242,Jacory Croskey-Merritt,RB,WAS,25.0,101.4622955322,1.1691182,0.06877166,0.3705263158,147.3,0.1176470588,91.2315444946,10.2307510376,5.0383418061,130,2026,False,0,0,7
00-0034827,DJ Moore,WR,BUF,29.0,98.1643371582,0.6544303,0.038495902,0.0302419355,170.68,0.2352941176,89.7821807861,8.3821563721,4.9686997969,131,2026,False,0,0,7
00-0033090,Hunter Henry,TE,NE,32.0,132.5004882812,1.4054666,0.0826745,0.0,181.8,0.1176470588,125.5790863037,6.9214019775,4.755179853,132,2026,False,0,0,11
DKBF-154-TRAVIS-HUNTER,Travis Hunter,WR,JAX,,97.7513985356,0.9033508909,0.0531382877,0.0094370668,,,89.7821807861,7.9692177494,4.723921728,133,2026,False,0,0,7
00-0035685,David Montgomery,RB,HOU,29.0,100.7473983765,0.8481356,0.04989033,0.3674418605,169.92,0.0588235294,91.2315444946,9.5158538818,4.6862761353,134,2026,False,0,0,8
00-0039910,Jayden Daniels,QB,WAS,26.0,223.6814219455,2.3911557,0.14065622,0.1136842105,116.18,0.2857142857,210.3753976643,13.3060242812,4.5828950039,135,2026,False,0,0,7
00-0038994,Jordan Addison,WR,MIN,24.0,97.1329498291,0.52585644,0.030932732,0.0050505051,141.1,0.0714285714,89.7821807861,7.350769043,4.3573232269,136,2026,False,0,0,6
00-0039032,Tyjae Spears,RB,TEN,25.0,99.4912872314,0.9396837,0.05527551,0.1935483871,111.7,0.0769230769,91.2315444946,8.2597427368,4.0676786079,137,2026,False,0,0,9
00-0037525,Jordan Mason,RB,MIN,27.0,99.3268585205,1.0373366,0.0610198,0.4015151515,133.9,0.0625,91.2315444946,8.0953140259,3.9867023389,138,2026,False,0,0,6
00-0038611,Chris Rodriguez Jr.,RB,JAX,27.0,99.2771987915,1.0442176,0.061424565,0.2357894737,92.0,0.0,91.2315444946,8.0456542969,3.9622463935,139,2026,False,0,0,7
00-0040691,Jaxson Dart,QB,NYG,23.0,221.2094981794,4.1196065,0.24232979,0.1573705179,249.08,0.5,210.3753976643,10.8341005151,3.7315086815,140,2026,False,0,0,8
COO816508,Omar Cooper Jr.,WR,NYJ,22.0,109.1,1.2,0.069,0.0,,,,6.2,3.6752,141,2026,True,1,30,13
DKBF-187-GERMIE-BERNARD,Germie Bernard,WR,PIT,,95.8947401334,0.8685205807,0.0510894459,0.0096672599,,,89.7821807861,6.1125593473,3.6233483413,142,2026,False,0,0,9
00-0037256,Rachaad White,RB,WAS,27.0,98.2886886597,0.71718335,0.042187255,0.286637931,136.5,0.0588235294,91.2315444946,7.057144165,3.4754344376,143,2026,False,0,0,7
DKBF-166-DENZEL-BOSTON,Denzel Boston,WR,CLE,,95.5512144488,0.8337748192,0.0490455776,0.0148034733,,,89.7821807861,5.7690336627,3.4197162539,144,2026,False,0,0,11
00-0039738,Blake Corum,RB,LA,26.0,97.8178024292,1.1492667,0.06760392,0.3302961276,125.2,0.0588235294,91.2315444946,6.5862579346,3.2435369188,145,2026,False,0,0,11
00-0023459,Aaron Rodgers,QB,PIT,43.0,219.5769396416,4.783821,0.28140125,0.0329113924,234.78,0.1875,210.3753976643,9.2015419773,3.1692186836,146,2026,False,0,0,9
DKBF-149-OMAR-COOPER,Omar Cooper,WR,NYJ,,94.9539467554,0.8371158586,0.0492421093,0.0087398234,,,89.7821807861,5.1717659693,3.0656732445,147,2026,False,0,0,13
DKBF-158-ANTONIO-WILLIAMS,Antonio Williams,WR,WAS,,94.8627945374,0.8287631659,0.0487507745,0.0129265681,,,89.7821807861,5.0806137513,3.0116408468,148,2026,False,0,0,7
00-0039880,Malik Washington,WR,MIA,26.0,94.8486480713,0.68733466,0.04043145,0.0400943396,113.4,0.0,89.7821807861,5.0664672852,3.0032552309,149,2026,False,0,0,6
00-0039146,Jayden Reed,WR,GB,26.0,94.673828125,0.9263657,0.054492097,0.0063965885,48.5,0.0,89.7821807861,4.8916473389,2.8996270244,150,2026,False,0,0,11
00-0037252,Greg Dulcich,TE,MIA,26.0,129.3304443359,1.2960362,0.076237425,0.0023584906,64.8,0.0,125.5790863037,3.7513580322,2.5772787355,151,2026,False,0,0,6
DKBF-167-JONAH-COLEMAN,Jonah Coleman,RB,DEN,,96.0564458166,1.0097694441,0.0593982026,0.2238284008,,,91.2315444946,4.824901322,2.3761209662,152,2026,False,0,0,10
00-0040743,Tyler Shough,QB,NO,27.0,217.0857898368,6.1498423,0.36175543,0.0913348946,171.26,0.3636363636,210.3753976643,6.7103921725,2.3112104797,153,2026,False,0,0,8
00-0035710,Daniel Jones,QB,IND,29.0,216.1733857683,5.146742,0.3027495,0.088372093,244.84,0.4615384615,210.3753976643,5.797988104,1.9969579307,154,2026,False,0,0,13
